Location,Cases,Deaths,Recoveries
the United States,2992350,132399,900629
Brazil,1626071,65556,978615
India,719665,20160,439947
Russia,694230,10494,463880
Peru,305703,10772,197619
Chile,298557,6384,264371
the United Kingdom,285768,44236,
Mexico,261750,31119,159657
Spain,251789,28388,150376
Iran,243051,11731,214083
Italy,241819,34869,192241
Pakistan,234509,4839,134957
Saudi Arabia,213716,1968,149634
Turkey,206844,5241,182995
South Africa,205721,3310,97848
Germany,198064,9092,182189
France,168335,29920,77319
Bangladesh,165618,2096,76149
Colombia,120281,4210,50370
Canada,105934,8693,69570
Qatar,100345,133,93898
mainland China,83565,4634,78528
Argentina,80434,1582,28518
Egypt,76222,3422,21238
Sweden,73061,5433,
Indonesia,64958,3241,29919
Belarus,63804,429,51120
Ecuador,62380,4821,5900
Iraq,62275,2567,34741
Belgium,62016,9771,17091
the United Arab Emirates,52068,324,40721
the Netherlands,50657,6128,
Kuwait,50644,373,41001
Kazakhstan,49683,264,16183
Ukraine,49043,1262,21703
Oman,47735,218,29146
the Philippines,46333,1303,12185
Singapore,44983,26,40717
Portugal,44129,1620,29166
Bolivia,40509,1476,11929
Panama,39334,770,18036
the Dominican Republic,38128,804,19489
Poland,36155,1521,23966
Afghanistan,33190,898,20025
Switzerland,32315,1686,29300
Israel,31271,338,18134
Bahrain,29821,98,25178
Nigeria,29286,654,11828
Romania,29223,1768,20213
Armenia,28936,491,16302
the Republic of Ireland,25531,1741,23349
Honduras,24665,656,2585
Guatemala,23972,981,3429
Ghana,21077,129,16070
Azerbaijan,20837,258,12182
Japan,19775,977,17124
Austria,18365,706,16647
Moldova,17906,595,11047
Serbia,16420,317,13064
Algeria,16404,959,11884
Nepal,15964,35,6811
Morocco,14379,237,10173
Cameroon,13711,328,11114
South Korea,13181,285,11914
Denmark,12878,607,11935
the Czech Republic,12566,350,7873
Ivory Coast,10966,75,5384
Uzbekistan,10459,38,6690
Sudan,9894,616,4899
Norway,8936,251,8138
Malaysia,8668,121,8476
Australia,8586,106,7420
Kenya,8067,164,2414
El Salvador,8027,223,4730
Kyrgyzstan,7691,92,2843
Senegal,7478,60,4909
the Democratic Republic of the Congo,7432,182,3226
Venezuela,7411,68,2100
Finland,7257,329,6700
North Macedonia,7124,346,3199
Haiti,6371,113,1824
Tajikistan,6262,53,4914
Ethiopia,5846,103,2430
Gabon,5743,46,2574
Bulgaria,5740,246,2915
Guinea,5610,34,4522
Bosnia and Herzegovina,5458,199,2598
Costa Rica,5241,23,1776
Mauritania,4948,133,1896
Djibouti,4822,55,4610
Luxembourg,4542,110,4016
the State of Palestine,4341,17,491
Hungary,4205,589,2874
the Central African Republic,4033,52,970
Greece,3562,192,1374
Kosovo,3508,75,1902
Madagascar,3250,33,1135
Croatia,3220,113,2210
Thailand,3195,58,3072
Equatorial Guinea,3071,51,842
Somalia,3006,92,763
Albania,2964,79,1702
the Maldives,2491,12,2113
Paraguay,2456,20,1180
Cuba,2380,86,2234
Mali,2331,119,1547
Nicaragua,2182,83,1750
Sri Lanka,2077,11,1917
South Sudan,2021,38,333
Estonia,1994,69,1875
Lebanon,1885,36,1311
Iceland,1866,10,1840
Puerto Rico,1846,155,840
Lithuania,1841,79,1547
Guinea-Bissau,1790,25,760
Slovakia,1765,28,1466
Malawi,1818,19,317
Slovenia,1716,111,1384
Zambia,1632,30,1348
the Republic of the Congo,1557,44,501
Sierra Leone,1547,62,1086
Cape Verde,1463,17,722
Yemen,1290,345,572
Hong Kong,1286,7,1157
the Donetsk People's Republic,1242,76,547
Benin,1199,21,333
Tunisia,1199,50,1049
New Zealand,1184,22,1140
Jordan,1167,10,957
Latvia,1127,30,1000
Libya,1117,34,269
Rwanda,1113,3,575
USS Theodore Roosevelt,1102,1,751
Niger,1093,68,968
,1081,0,0
Mozambique,1012,6,277
Eswatini,1011,13,564
Cyprus,1004,19,839
Burkina Faso,1000,53,858
Uruguay,960,29,858
Georgia (country),953,15,830
Uganda,953,0,892
Liberia,891,39,377
Chad,872,74,787
Andorra,855,52,800
Montenegro,841,14,315
Zimbabwe,734,9,197
Jamaica,732,10,584
São Tomé and Príncipe,721,13,269
,712,14,653
San Marino,698,42,656
Togo,680,15,450
Malta,672,9,652
Suriname,614,14,315
Somaliland,560,27,176
Namibia,539,0,25
the Luhansk People's Republic,532,13,461
Taiwan,449,7,438
Syria,372,14,126
Vietnam,369,0,341
Angola,353,19,108
Mauritius,342,10,330
the Isle of Man,336,24,312
Jersey,325,15,303
Myanmar,316,6,2415
Botswana,314,1,31
the Comoros,311,7,266
Guam,301,5,179
Guyana,278,15,121
Guernsey,252,13,238
Mongolia,220,0,175
Eritrea,215,0,56
the Cayman Islands,201,1,194
Burundi,191,1,118
the Faroe Islands,188,0,187
Gibraltar,179,0,176
cruise ships,148,0,148
Bermuda,146,9,137
Brunei,141,3,138
Cambodia,141,0,131
the Republic of Artsakh,135,0,101
Trinidad and Tobago,131,8,115
cruise ships,128,1,
Northern Cyprus,113,4,104
the United States Virgin Islands,116,6,79
Monaco,108,4,95
Aruba,105,3,98
the Bahamas,104,11,89
Barbados,98,7,90
Lesotho,91,0,11
South Ossetia,85,0,84
Liechtenstein,84,1,81
Seychelles,81,0,11
Bhutan,80,0,54
Sint Maarten,78,15,63
Antigua and Barbuda,70,3,23
French Polynesia,62,0,60
the Gambia,61,3,27
the Turks and Caicos Islands,49,2,11
Macau,46,0,45
Abkhazia,38,1,34
Belize,30,2,19
the Northern Mariana Islands,30,2,19
Saint Vincent and the Grenadines,29,0,29
Curaçao,25,1,23
East Timor,24,0,24
Grenada,23,0,23
Saint Lucia,22,0,19
Fiji,21,0,18
New Caledonia,21,0,21
Laos,19,0,19
Dominica,18,0,18
Saint Kitts and Nevis,16,0,15
the Falkland Islands,13,0,13
Greenland,13,0,13
cruise ships,13,4,
cruise ships,12,3,
Vatican City,12,0,12
Montserrat,11,1,10
Papua New Guinea,11,0,8
the British Virgin Islands,8,1,7
naval ships,8,0,8
Anguilla,3,0,3
Saba,3,0,3
Bonaire,2,0,2
Sint Eustatius,2,0,2
Saint Pierre and Miquelon,1,0,1
Tanzania,,,
,As of 7 July 2020 (,None,None
,,None,None
